type	entity
ORGANIZATION	Complete Chicago Package Permissions
ORGANIZATION	Chicago Chicago Emerging Nations Initiative The University of Chicago Press Books Division Chicago Distribution Center
ORGANIZATION	University of Chicago Press Journals
LOCATION	Chicago
PERSON	Alan Liu Alan Liu
ORGANIZATION	University of California Santa Barbara
ORGANIZATION	Shuttle Web Site for Humanities Research
ORGANIZATION	NEH
ORGANIZATION	Electronic Literature Organization ELO
ORGANIZATION	Technology Software Committee
ORGANIZATION	ELO
ORGANIZATION	Preservation Archiving Dissemination of Electronic Literature
PERSON	Alan Liu
ORGANIZATION	University of Chicago Press Books Chicago Distribution Center The University of Chicago Contact us Media
