type	entity
ORGANIZATION	DH Centers
ORGANIZATION	Digital Humanities Read
ORGANIZATION	October University of Applied Sciences Potsdam FH Potsdam
LOCATION	Berlin
PERSON	Textgrid
PERSON	Marian D
LOCATION	Potsdam
ORGANIZATION	University of Applied Sciences Potsdam Potsdam Germany
LOCATION	Vancouver
ORGANIZATION	LDC
ORGANIZATION	LREC
ORGANIZATION	Linguistic Data LDC
PERSON	Chris Cieri
LOCATION	Crystal Room LDC
ORGANIZATION	UCL Centre
ORGANIZATION	Digital Classicist London 2018
LOCATION	Mediterranean Read
PERSON	Stellenausschreibung Wiss Mitarbeiter
PERSON	Textgrid An der Herzog August Bibliothek
ORGANIZATION	Stelle
PERSON	Mitarbeiter
PERSON	Stelle
PERSON	Briefe Andreas Bodensteins von Karlstadt Teil
ORGANIZATION	LDC
ORGANIZATION	LREC
ORGANIZATION	Linguistic Data LDC
ORGANIZATION	ELRA
ORGANIZATION	European Language Resource Association
LOCATION	Miyazaki Japan
ORGANIZATION	USC School of Cinematic
LOCATION	West 32nd Street Los Angeles
ORGANIZATION	USC Media Arts Practice Read
PERSON	Sonya Betz
ORGANIZATION	Digital Read
ORGANIZATION	TU Darmstadt
ORGANIZATION	Keynote von Prof Marc Alexander University of Glasgow
PERSON	Raum
PERSON	Zeit K
ORGANIZATION	Textgrid Am
PERSON	Raum
PERSON	Leibniz Institut
ORGANIZATION	Europ
PERSON	Anna Aschauer Marco
PERSON	Otto Friedrich Universit
PERSON	Bamberg Tobias Gradl Andreas Henrich Read
ORGANIZATION	British Library Labs
ORGANIZATION	UCLDH
ORGANIZATION	BL Labs
ORGANIZATION	Maryland Institute for Technology in the Humanities MITH College Park MD
LOCATION	United States
ORGANIZATION	UCL Centre for Digital Humanities London United Kingdom
ORGANIZATION	Electronic Textual Cultures Lab University of Victoria PO Box
ORGANIZATION	CSC Victoria BC Canada
LOCATION	France
ORGANIZATION	Digital Scholarship Lab Richmond VA United States
ORGANIZATION	Institut des Sciences Sociales LaDHUL University of Lausanne Lausanne Switzerland
ORGANIZATION	Arts Humanities
ORGANIZATION	Digital Humanities
