type	entity
ORGANIZATION	Walt Whitman Archive Ed Folsom amp Kenneth M Price Editors Published Works Books
ORGANIZATION	Whitman Periodicals Translations In Whitman s Hand Manuscripts Notebooks Scribal Documents Life
PERSON	Whitman
ORGANIZATION	Marta Skwara University of Szczecin
PERSON	Whitman
LOCATION	New York Aurora
PERSON	Whitman
ORGANIZATION	National Historical Publications and Records Commission
ORGANIZATION	National Endowment for the Humanities the US Department of Education the Institute of Museum and Library Services the National Historical Publications and Records Commission University of Iowa University of Nebraska Lincoln
ORGANIZATION	Institute for Advanced Technology in the Humanities
ORGANIZATION	University of Virginia The Walt Whitman Archive
PERSON	Ed Folsom
PERSON	Kenneth M Price
ORGANIZATION	Center for Digital Research
ORGANIZATION	University of Nebraska Lincoln
