File	type	entity
thoreau-slavery-185.tsv	LOCATION	Mexico
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	Boston
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Boxboro
thoreau-slavery-185.tsv	LOCATION	Boston
thoreau-slavery-185.tsv	LOCATION	New York
thoreau-slavery-185.tsv	LOCATION	United States
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	America
thoreau-slavery-185.tsv	LOCATION	America
thoreau-slavery-185.tsv	LOCATION	Boston
thoreau-slavery-185.tsv	LOCATION	New England
thoreau-slavery-185.tsv	LOCATION	Lexington
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	Framingham
thoreau-slavery-185.tsv	LOCATION	West
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Nebraska
thoreau-slavery-185.tsv	LOCATION	Boston
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Court Street
thoreau-slavery-185.tsv	LOCATION	Court Street
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Concord Massachusetts
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Raleigh
thoreau-walden-186.tsv	LOCATION	Tierra del Fuego
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Salem
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Neva
thoreau-walden-186.tsv	LOCATION	Asiatic Russia
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Parcee
thoreau-walden-186.tsv	LOCATION	Paris
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	Rumford
thoreau-walden-186.tsv	LOCATION	Israel
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Ireland
thoreau-walden-186.tsv	LOCATION	South Sea Islander
thoreau-walden-186.tsv	LOCATION	Southern States
thoreau-walden-186.tsv	LOCATION	Aurora
thoreau-walden-186.tsv	LOCATION	New Netherland
thoreau-walden-186.tsv	LOCATION	New Netherland
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Fitchburg Railroad
thoreau-walden-186.tsv	LOCATION	Broadway
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Cambridge
thoreau-walden-186.tsv	LOCATION	Neptune
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	New York
thoreau-walden-186.tsv	LOCATION	Maine
thoreau-walden-186.tsv	LOCATION	Texas
thoreau-walden-186.tsv	LOCATION	Maine
thoreau-walden-186.tsv	LOCATION	Texas
thoreau-walden-186.tsv	LOCATION	Atlantic
thoreau-walden-186.tsv	LOCATION	Fitchburg
thoreau-walden-186.tsv	LOCATION	Fitchburg
thoreau-walden-186.tsv	LOCATION	India
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Arcadia
thoreau-walden-186.tsv	LOCATION	Thebes
thoreau-walden-186.tsv	LOCATION	Thebes
thoreau-walden-186.tsv	LOCATION	Nile
thoreau-walden-186.tsv	LOCATION	United States Bank
thoreau-walden-186.tsv	LOCATION	China
thoreau-walden-186.tsv	LOCATION	East
thoreau-walden-186.tsv	LOCATION	India
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Sahara
thoreau-walden-186.tsv	LOCATION	Jupiter
thoreau-walden-186.tsv	LOCATION	Newfoundland
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Esquimau
thoreau-walden-186.tsv	LOCATION	Patagonian
thoreau-walden-186.tsv	LOCATION	Tigris
thoreau-walden-186.tsv	LOCATION	Bagdad
thoreau-walden-186.tsv	LOCATION	Hollowell
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Lincoln
