File	type	entity
austen-northanger.tsv	LOCATION	Salisbury
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Salisbury
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Morland
austen-northanger.tsv	LOCATION	Morlands
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Herefordshire
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	Mississippi
austen-northanger.tsv	LOCATION	Melan Dr S Fairbanks AK
austen-northanger.tsv	LOCATION	West Salt Lake City UT
austen-northanger.tsv	LOCATION	United States
austen-northanger.tsv	LOCATION	United States
austen-pride.tsv	LOCATION	Charlotte Street Bedford Square
austen-pride.tsv	LOCATION	Netherfield Park
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	England
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Netherfield Such
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	England
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield House
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	England
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Netherfield Lydia
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Bingley
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Westerham Kent
austen-pride.tsv	LOCATION	Longbourn
