type	entity
ORGANIZATION	Contribute Metadata
ORGANIZATION	Vocabularlies Corpora Creation Qualitative Research Designs Curricula Curriculum Vitae Data Data Collection Data
ORGANIZATION	Digital Archives Digital Collections DigitalHumanities
ORGANIZATION	Relationships Research Research data Research Process Research Results Research Analysis Recording Observations ResearchProcess ResearchResults Reserach Observations Scorings Sentence Parser Sentiment Analysis Sheet Music
ORGANIZATION	Tokenization Tools Transcription Transcriptions Translation Twitter TXT Video Visualization Voice Voice
ORGANIZATION	Andrew W Mellon Foundation
