type	entity
PERSON	Kristof Coussement
PERSON	Dirk Van
ORGANIZATION	Faculty of Economics and Business Administration Ghent University
LOCATION	Belgium
ORGANIZATION	Ghent University Faculty of Economics and Business Administration Abstract Customer
ORGANIZATION	Keywords Customer Complaint Handling Call Center Email Voice of Customers VOC
ORGANIZATION	LSI
ORGANIZATION	Faculty of Economics and Business Administration Ghent University
LOCATION	Belgium
ORGANIZATION	Ghent University Faculty of Economics and Business Administration Contact
PERSON	Nathalie Verhaeghe
ORGANIZATION	University School of Business Page
