type	entity
PERSON	Seth Grimes Seth Grimes
LOCATION	Washington DC
ORGANIZATION	Alta Plana Corporation
PERSON	Seth Grimes
LOCATION	US
PERSON	Seth Grimes
PERSON	Philip Russom
ORGANIZATION	Data Warehousing Institute
PERSON	Forrester Giga Hurwitz
ORGANIZATION	Intelligent Enterprise Philip
ORGANIZATION	TDWI
PERSON	Philip
ORGANIZATION	Business Intelligence BI
LOCATION	Technorati Profile
LOCATION	US
ORGANIZATION	United Business Media
ORGANIZATION	United Business Media
ORGANIZATION	United Business Media LLC
ORGANIZATION	United Business Media
PERSON	Cindi Howson
PERSON	Tony Byrne
PERSON	Seth Grimes
PERSON	Doug Henschen
PERSON	Phil Kemelor
PERSON	Sandy Kemsley
PERSON	David Linthicum
PERSON	Shawn Shell
PERSON	Curt Monash
PERSON	Kas Thomas
PERSON	Alan Pelz Sharpe
PERSON	Neil Raden
ORGANIZATION	InformationWeek Business Technology Network Advanced Trading Bank Systems amp Technology Bank Systems amp Technology
ORGANIZATION	InformationWeek
ORGANIZATION	InformationWeek
ORGANIZATION	InformationWeek Analytics InformationWeek Events InformationWeek Financial Services InformationWeek Global CIO InformationWeek
ORGANIZATION	InformationWeek Healthcare InformationWeek India InformationWeek Magazine Insurance amp Technology Insurance amp Technology
ORGANIZATION	TechWeb Events Network Black Hat Cloud Connect Enterprise
ORGANIZATION	GTEC Interop VoiceCon
PERSON	Bob Evan
PERSON	David Berlind
ORGANIZATION	Tech Radar Digital Life Enterprise
ORGANIZATION	InformationWeek Analytics Interop Blog
PERSON	Jon Erickson
ORGANIZATION	Philter Valley Wonk
PERSON	Wolfe
ORGANIZATION	Den About TechWeb Advertising Contacts Become
ORGANIZATION	News Business Intelligence Enterprise Applications Information Management
ORGANIZATION	United Business Media LLC
