type	entity
PERSON	Kate Hayes
ORGANIZATION	Guildhall School of Music
LOCATION	Wabi
PERSON	Kate Hayes
PERSON	Kate Hayes
ORGANIZATION	Napster
ORGANIZATION	Technology Development Open Symphony
ORGANIZATION	School of Electronic Engineering and Computer Science at Queen Mary University of London QM
PERSON	Yongmeng Wu
PERSON	Leshao Zhang
PERSON	Mathieu Barthet
LOCATION	San Jose California
PERSON	Picasso
ORGANIZATION	Creating Value Across Boundaries
LOCATION	United Kingdom
LOCATION	UK
PERSON	Mozart
ORGANIZATION	Zeppelin Pink Floyd Queen the Eagles
PERSON	Fleetwood Mac
ORGANIZATION	Taylor Swift
ORGANIZATION	Adele
ORGANIZATION	Madonna
ORGANIZATION	Rihanna
LOCATION	UK
ORGANIZATION	IPR
PERSON	John Cage
ORGANIZATION	Guildhall School of Music
ORGANIZATION	China Scholarship Council Arts Council England Sound and Music Audience Labs
PERSON	Liberman
ORGANIZATION	Blackwell A Wilson L Boulton C amp Knell
LOCATION	London
ORGANIZATION	Association of British Orchestras
ORGANIZATION	Association of British Orchestras Website
ORGANIZATION	State of Britains Orchestras
ORGANIZATION	Musician s Union Website
PERSON	Kostelanetz
ORGANIZATION	Cage 2nd Ed New York Routledge
